gene,ensemblid,chr,pm_ld,age_stage4,age_stage7,age_stage4_num,age_stage7_num,age_stage7_mya,age_genetree_num,age_phylos_num,age_protein_num,gene_age_num,Gene length (bp),CDS Length,CDS/Transcript Length ratio,Transcript length (bp),Protein size (aa),Transcript count,GC content,Number of SNPs (Gene),Exon Counts,Intron Counts,Number of SNPs (Transcript),LOEUF,pLI,Missense/Synonymous ratio,Nonsense/Synonymous ratio,Mouse dS value,Chimp dS value,Gorilla dS value,pLI_class,LOEUF_class,dN/dS ratio mouse,dN/dS ratio Chimp,dN/dS ratio Gorilla,pm_pleio3,pm_pleio5,pm10,pm100,group_id,ifhsd2,pn_ld,pn_pleio3,pn_pleio5,pn10,pn100,cis_egene,cis_sgene,trans_egene,iftf,tf_sum,tau,ogee_connectivity,enhancer_n,po_pergene,essential_score,GES,GES_class,ifspecific,pn_ld_clumped_snps,pn_mean_maf,pn_median_maf,pm_ld_clumped_snps,pm_mean_maf,pm_median_maf,high_pn,high_pm,length_bin,snp_bin,ld_bin,maf_bin,Euteleostomi,Eutheria
DCLK3,ENSG00000163673,3,5.80997915498678,Euteleostomi,Euteleostomi,1,1,429,1,1,2,1714,5574,2454,0.450605949,5446,817,3,43.39,10447,5,4,10447,1.00016666666667,1.80878333333333e-07,2.109704641,0.046413502,0.9472,0.0086,0.0177,Tolerant,Tolerant,0.160367399,0.23255814,0.11299435,Intermediate pleiotropy,2nd,3,21,,Singletons,9.73042414132498,Intermediate pleiotropy,3rd,6,57,FALSE,FALSE,FALSE,FALSE,5,0.96965496,,13,14,-0.110156462798079,0.110156462798079,Non_essentialty,Specific,3,0.112156733333333,0.155138,4,0.16099955,0.1871735,FALSE,FALSE,"(5.4e+03,7.81e+03]","(8.75e+03,1.93e+04]","(2,3]","(0.152,0.243]",TRUE,FALSE
DCLRE1A,ENSG00000198924,10,6.07858617601037,Euteleostomi,Euteleostomi,1,1,429,1,1,2,645,4582,3123,0.701797753,4450,1040,3,36.75,4065,9,8,3987,0.856,1.9549e-15,2.542168675,0.108433735,0.7102,0.0166,0.0092,Tolerant,Tolerant,0.347366939,0.313253012,0.706521739,Intermediate pleiotropy,3rd,5,45,,Singletons,9.25744411156385,Intermediate pleiotropy,3rd,5,48,TRUE,FALSE,TRUE,FALSE,5,0.256977233,31,2,2,-0.0101688290797362,0.0101688290797362,Non_essentialty,Non_specific,3,0.162221533333333,0.228291,3,0.162562866666667,0.228291,FALSE,FALSE,"(3.74e+03,5.4e+03]","(1.92e+03,4.34e+03]","(2,3]","(0.152,0.243]",TRUE,FALSE
DCLRE1B,ENSG00000118655,1,6.84958299294073,Euteleostomi,Euteleostomi,1,1,429,1,1,2,645,3940,1599,0.405837563,3940,532,5,45.65,2178,4,3,2178,0.696142857142857,0.595258045714286,2.278145695,0.072847682,0.5245,0.0111,0.0314,Intermediate,Tolerant,0.258913251,0.072072072,0.133757962,Intermediate pleiotropy,4th,8,78,,Singletons,12.773771508744,High pleiotropy,5th,9,89,TRUE,FALSE,FALSE,FALSE,12,0.399621869,37,10,34,-0.714459190227055,0.714459190227055,Non_essentialty,Non_specific,2,0.220404,0.220404,2,0.2070165,0.2070165,TRUE,FALSE,"(3.74e+03,5.4e+03]","(1.92e+03,4.34e+03]","[1,2]","(0.152,0.243]",TRUE,FALSE
DCLRE1C,ENSG00000152457,10,5.8415610740886,Euteleostomi,Euteleostomi,1,1,429,1,2,4,987,9592,2079,0.348825503,5960,692,16,41.86,13536,14,13,12011,0.896558823529412,0.0145541218264353,2.296650718,0.110047847,0.5887,0.0491,0.0144,Tolerant,Tolerant,0.202649907,0.484725051,0.222222222,Intermediate pleiotropy,2nd,3,24,,Singletons,8.88577331479229,Intermediate pleiotropy,3rd,5,41,TRUE,FALSE,TRUE,FALSE,9,0.413670969,68,13,4,-0.0117979919195215,0.0117979919195215,Non_essentialty,Non_specific,4,0.0539198,0.03838805,4,0.0539198,0.03838805,FALSE,FALSE,"(7.81e+03,1.19e+05]","(8.75e+03,1.93e+04]","(3,61]","[0.00191,0.0795]",TRUE,FALSE
DCN,ENSG00000011465,12,6.17862695024407,Euteleostomi,Euteleostomi,1,1,429,1,1,7,645,12548,1080,0.157664234,6850,359,20,34.9,8616,8,7,8616,0.968125,0.316980166666667,1.868421053,0.035087719,0.6451,0,0.0125,Intermediate,Tolerant,0.187412804,,0.112,Intermediate pleiotropy,3rd,6,52,,Singletons,9.70322730179696,Intermediate pleiotropy,3rd,6,56,FALSE,FALSE,FALSE,FALSE,15,0.280720856,61,18,12,0.0105215631035475,-0.0105215631035475,Non_essentialty,Non_specific,3,0.0579608,0.0239234,3,0.0579608,0.0239234,FALSE,FALSE,"(7.81e+03,1.19e+05]","(4.34e+03,8.75e+03]","(2,3]","[0.00191,0.0795]",TRUE,FALSE
DCP1A,ENSG00000272886,3,6.38281115222592,Euteleostomi,Euteleostomi,1,1,429,1,1,,544,6102,1749,0.295140061,5926,582,6,41.18,11806,10,9,11792,0.472111111111111,0.916693333333333,1.881944444,0.006944444,0.3276,0.0071,0.0075,Intolerant,Intolerant,0.18956044,0.23943662,0.68,Intermediate pleiotropy,4th,7,63,,Singletons,10.9650991047945,Intermediate pleiotropy,4th,8,75,TRUE,FALSE,FALSE,FALSE,13,0.201159668,143,22,24,-0.549813696599195,0.549813696599195,Non_essentialty,Non_specific,1,0.361951,0.361951,1,0.362581,0.362581,FALSE,FALSE,"(5.4e+03,7.81e+03]","(8.75e+03,1.93e+04]","[1,2]","(0.353,0.5]",TRUE,FALSE
DCP1B,ENSG00000151065,12,5.98800639437231,Euteleostomi,Euteleostomi,1,1,429,1,2,2,950,4610,462,0.207082026,2231,153,7,38.72,11099,3,2,2549,1.15716666666667,0.016743360872175,2.333333333,0.128205128,0.6504,0.0088,0.0133,Tolerant,Tolerant,0.335332103,0.545454545,0.315789474,Intermediate pleiotropy,2nd,4,37,,Singletons,8.58405557452467,Intermediate pleiotropy,2nd,4,34,TRUE,FALSE,FALSE,FALSE,6,0.362592481,14,38,19,0.0197221407118156,-0.0197221407118156,Non_essentialty,Non_specific,2,0.2893501,0.2893501,3,0.149031166666667,0.192145,FALSE,FALSE,"(3.74e+03,5.4e+03]","(8.75e+03,1.93e+04]","[1,2]","(0.243,0.353]",TRUE,FALSE
DCP2,ENSG00000172795,5,5.83865867228104,Euteleostomi,Euteleostomi,1,1,429,1,2,2,1488,11176,1263,0.124925816,10110,420,8,37.78,12078,11,10,12018,0.831666666666667,4.34757666666667e-05,1.928057554,0.035971223,0.4346,0.0048,0.0112,Tolerant,Tolerant,0.081914404,0.25,0.303571429,Intermediate pleiotropy,2nd,3,24,,Singletons,8.33100319685049,Intermediate pleiotropy,2nd,3,30,TRUE,TRUE,TRUE,FALSE,18,0.289191073,38,18,4,-0.366145969304065,0.366145969304065,Non_essentialty,Non_specific,1,0.493474,0.493474,1,0.487396,0.487396,FALSE,FALSE,"(7.81e+03,1.19e+05]","(8.75e+03,1.93e+04]","[1,2]","(0.353,0.5]",TRUE,FALSE
DCPS,ENSG00000110063,11,6.58369144557544,Euteleostomi,Euteleostomi,1,1,429,1,2,2,987,7879,1014,0.18684356,5427,337,4,49.44,9414,6,5,9414,0.98525,0.000200852155,2.030769231,0.130769231,0.5946,0.0403,0,Tolerant,Tolerant,0.090480996,0.034739454,,Intermediate pleiotropy,4th,8,71,,Singletons,10.2437343227117,Intermediate pleiotropy,4th,7,66,TRUE,FALSE,FALSE,FALSE,12,0.274328294,3,26,2,-0.0643014474415434,0.0643014474415434,Non_essentialty,Non_specific,3,0.143802466666667,0.0893647,3,0.108832866666667,0.0620318,FALSE,FALSE,"(7.81e+03,1.19e+05]","(8.75e+03,1.93e+04]","(2,3]","(0.0795,0.152]",TRUE,FALSE
DCST1,ENSG00000163357,1,6.94481768925889,Euteleostomi,Euteleostomi,1,1,429,,,4,680,3193,2121,0.930671347,2279,706,5,53.42,3902,17,16,3902,1.0296,1.838772604e-19,2.26754386,0.144736842,0.7314,0.0207,0.0167,Tolerant,Tolerant,0.245693191,0.275362319,0.341317365,Intermediate pleiotropy,4th,8,80,,Singletons,11.5857419629877,High pleiotropy,5th,9,81,FALSE,FALSE,FALSE,FALSE,5,0.970691236,,11,41,-0.0616490693812347,0.0616490693812347,Non_essentialty,Specific,1,0.137978,0.137978,1,0.137978,0.137978,TRUE,FALSE,"(2.35e+03,3.74e+03]","(1.92e+03,4.34e+03]","[1,2]","(0.0795,0.152]",TRUE,FALSE
DCST2,ENSG00000163354,1,8.00719164025754,Euteleostomi,Euteleostomi,1,1,429,,,4,168,3071,2322,0.959900785,2419,773,5,53.65,3466,15,14,3465,0.95175,3.6667677595e-11,2.263157895,0.12145749,0.7174,0.0175,0.0226,Tolerant,Tolerant,0.24533036,0.142857143,0.243362832,High pleiotropy,5th,10,92,,Singletons,10.644128679745,Intermediate pleiotropy,4th,8,72,FALSE,FALSE,FALSE,FALSE,5,0.671184002,,12,41,-0.196568886636857,0.196568886636857,Non_essentialty,Non_specific,1,0.474247,0.474247,2,0.220226,0.220226,FALSE,TRUE,"(2.35e+03,3.74e+03]","(1.92e+03,4.34e+03]","[1,2]","(0.353,0.5]",TRUE,FALSE
DCSTAMP,ENSG00000164935,8,5.9364312875106,Euteleostomi,Euteleostomi,1,1,429,1,,7,680,2778,1413,0.723502304,1953,470,8,44.24,3684,4,3,3510,1.0513,2.8592276e-05,2.013605442,0.095238095,0.5728,0,0.0244,Tolerant,Tolerant,0.292597765,,0.356557377,Intermediate pleiotropy,2nd,4,32,,Singletons,8.46239878984315,Intermediate pleiotropy,2nd,4,32,FALSE,FALSE,FALSE,FALSE,9,0.997401413,1,28,13,0.0368070315272699,-0.0368070315272699,Non_essentialty,Specific,1,0.442793,0.442793,1,0.442793,0.442793,FALSE,FALSE,"(2.35e+03,3.74e+03]","(1.92e+03,4.34e+03]","[1,2]","(0.353,0.5]",TRUE,FALSE
DCT,ENSG00000080166,13,6.24805818646611,Euteleostomi,Euteleostomi,1,1,429,1,1,3,810,7540,1560,0.307449744,5074,519,5,39.87,8546,8,7,8546,1.17216666666667,4.50208355925125e-05,2.567567568,0.182432432,0.6287,0.0222,0.0285,Tolerant,Tolerant,0.141084778,0.225225225,0.273684211,Intermediate pleiotropy,3rd,6,56,,Singletons,9.83815117943675,Intermediate pleiotropy,3rd,6,59,FALSE,FALSE,FALSE,FALSE,15,0.959690765,3,9,94,-0.00309345112378813,0.00309345112378813,Non_essentialty,Specific,3,0.09096,0.0802535,3,0.09096,0.0802535,FALSE,FALSE,"(5.4e+03,7.81e+03]","(4.34e+03,8.75e+03]","(2,3]","(0.0795,0.152]",TRUE,FALSE
DCTD,ENSG00000129187,4,5.73911415866605,Euteleostomi,Euteleostomi,1,1,429,1,1,1,1292,3466,537,0.272312373,1972,178,17,46.1,5812,6,5,5702,1.91883870967742,0.00460241051,2.6875,0.145833333,0.7276,0,0,Tolerant,Tolerant,0.044942276,,,Low pleiotropy,1st,2,16,,Singletons,7.87504898500768,Intermediate pleiotropy,2nd,3,21,TRUE,FALSE,TRUE,FALSE,11,0.183433401,17,14,95,-0.00816704926975783,0.00816704926975783,Non_essentialty,Non_specific,3,0.138920466666667,0.06231,3,0.159816233333333,0.06231,FALSE,FALSE,"(2.35e+03,3.74e+03]","(4.34e+03,8.75e+03]","(2,3]","[0.00191,0.0795]",TRUE,FALSE
DCTN1,ENSG00000204843,2,6.15272080034626,Euteleostomi,Euteleostomi,1,1,429,1,1,2,1488,10439,3837,0.852666667,4500,1278,27,49.96,7539,32,31,4981,0.65364,0.8120166,1.972906404,0.041871921,,,,Intermediate,Tolerant,,,,Intermediate pleiotropy,3rd,5,50,,Singletons,8.01056899693841,Intermediate pleiotropy,2nd,3,23,TRUE,FALSE,TRUE,FALSE,11,0.141281995,146,6,12,-0.285267291064515,0.285267291064515,Non_essentialty,Non_specific,4,0.03873195,0.0284667,3,0.062595,0.0307937,FALSE,FALSE,"(7.81e+03,1.19e+05]","(4.34e+03,8.75e+03]","(3,61]","[0.00191,0.0795]",TRUE,FALSE
DCTN2,ENSG00000175203,12,6.14983021145234,Euteleostomi,Euteleostomi,1,1,429,1,2,2,645,4217,1206,0.585152838,2061,401,24,48.08,3584,14,13,3584,0.557764705882353,0.79303,1.882352941,0.016806723,0.4366,0.0022,0.0059,Intermediate,Intolerant,0.046724691,0.636363636,0.203389831,Intermediate pleiotropy,3rd,5,50,,Singletons,9.69468443826106,Intermediate pleiotropy,3rd,6,56,FALSE,FALSE,FALSE,FALSE,1,0.102840414,254,17,8,-0.917378648114831,0.917378648114831,Non_essentialty,Non_specific,1,0.129451,0.129451,1,0.129451,0.129451,FALSE,FALSE,"(3.74e+03,5.4e+03]","(1.92e+03,4.34e+03]","[1,2]","(0.0795,0.152]",TRUE,FALSE
DCTN3,ENSG00000137100,9,5.93898010617073,Tetrapoda,Tetrapoda,2,2,352,,2,2,680,3740,429,0.451104101,951,142,11,49.85,1472,5,4,1305,1.29175,1.71080285833333e-05,1.96,0.14,0.4614,0.2019,0.0203,Tolerant,Tolerant,0.067186823,0.644378405,0.251231527,Intermediate pleiotropy,2nd,4,32,,Singletons,9.11496051359767,Intermediate pleiotropy,3rd,5,45,TRUE,FALSE,TRUE,FALSE,7,0.1589775,250,9,33,-0.750358524315427,0.750358524315427,Non_essentialty,Non_specific,1,0.352866,0.352866,1,0.352866,0.352866,FALSE,FALSE,"(2.35e+03,3.74e+03]","[1,1.92e+03]","[1,2]","(0.353,0.5]",FALSE,FALSE
DCTN4,ENSG00000132912,5,5.58471265302288,Euteleostomi,Euteleostomi,1,1,429,1,2,2,1488,6417,1383,0.328659696,4208,460,15,38.73,10542,13,12,10542,0.621266666666667,0.748946,1.916083916,0.034965035,0.4438,0.0095,0.016,Intermediate,Tolerant,0.035376296,0.094736842,0.0625,Low pleiotropy,1st,1,7,,Singletons,7.30778358855573,Low pleiotropy,1st,2,12,TRUE,FALSE,TRUE,FALSE,17,0.163774213,137,25,1,-0.857344481832079,0.857344481832079,Non_essentialty,Non_specific,1,0.0435334,0.0435334,1,0.043442,0.043442,FALSE,FALSE,"(5.4e+03,7.81e+03]","(8.75e+03,1.93e+04]","[1,2]","[0.00191,0.0795]",TRUE,FALSE
DCTN5,ENSG00000166847,16,5.84149425017737,Euteleostomi,Euteleostomi,1,1,429,1,,2,1488,12683,549,0.050118678,10954,182,8,42.88,6936,6,5,6936,0.993,0.143719,1.954545455,0.113636364,0.3443,0,0,Intermediate,Tolerant,0.007551554,,,Intermediate pleiotropy,2nd,3,24,,Singletons,6.84099680318627,Low pleiotropy,1st,1,7,TRUE,FALSE,FALSE,FALSE,7,0.194149335,138,31,7,-1.14699042765568,1.14699042765568,Essentialty,Non_specific,1,0.256879,0.256879,3,0.0719225,0.0467422,FALSE,FALSE,"(7.81e+03,1.19e+05]","(4.34e+03,8.75e+03]","[1,2]","(0.243,0.353]",TRUE,FALSE
DCTN6,ENSG00000104671,8,5.86394373384892,Euteleostomi,Euteleostomi,1,1,429,1,1,2,1488,1961,573,0.543643264,1054,190,6,41.55,5159,7,6,5145,0.604,0.88627,2.9,0.075,1.022,,0.0532,Intermediate,Tolerant,0.111056751,,0.486842105,Intermediate pleiotropy,2nd,3,26,,Singletons,8.59708744928214,Intermediate pleiotropy,2nd,4,35,FALSE,FALSE,FALSE,FALSE,10,0.149194625,144,3,93,-1.18473306439938,1.18473306439938,Essentialty,Non_specific,2,0.02335087,0.02335087,2,0.02294057,0.02294057,FALSE,FALSE,"[211,2.35e+03]","(4.34e+03,8.75e+03]","[1,2]","[0.00191,0.0795]",TRUE,FALSE
DCTPP1,ENSG00000179958,16,7.86267513409605,Amniota,Mammalia,3,4,180,,,1,645,1581,513,0.419803601,1222,170,5,53.23,1432,3,2,1432,1.691,0.221184342857143,2.127272727,0.090909091,0.6703,0.0058,0.0118,Intermediate,Tolerant,0.234671043,0.517241379,0.516949153,High pleiotropy,5th,10,91,,Singletons,14.793200223433,High pleiotropy,5th,10,96,FALSE,FALSE,TRUE,FALSE,9,0.093069605,23,13,17,-0.117265942234406,0.117265942234406,Non_essentialty,Non_specific,1,0.371826,0.371826,1,0.371826,0.371826,TRUE,TRUE,"[211,2.35e+03]","[1,1.92e+03]","[1,2]","(0.353,0.5]",FALSE,FALSE
DCUN1D1,ENSG00000043093,3,6.407086058127,Tetrapoda,Tetrapoda,2,2,352,2,,2,680,8412,780,0.098063867,7954,259,8,39.56,9555,7,6,8495,0.661176470588235,0.822046470588236,1.6,0.033333333,,0,0.0129,Intermediate,Tolerant,,,0.325581395,Intermediate pleiotropy,4th,7,64,,Singletons,11.4455432971244,Intermediate pleiotropy,4th,8,80,FALSE,FALSE,TRUE,FALSE,8,0.524980453,177,15,18,-0.0436384237055823,0.0436384237055823,Non_essentialty,Non_specific,1,0.322619,0.322619,1,0.308712,0.308712,FALSE,FALSE,"(7.81e+03,1.19e+05]","(8.75e+03,1.93e+04]","[1,2]","(0.243,0.353]",FALSE,FALSE
DCUN1D2,ENSG00000150401,13,6.35135285945101,Euteleostomi,Euteleostomi,1,1,429,1,2,2,987,4345,780,0.257255937,3032,259,11,44.89,8081,7,6,7986,1.46707692307692,0.00197885258707692,2.207792208,0.155844156,0.5381,0.0126,0.0047,Tolerant,Tolerant,0.084185096,0.452380952,0.765957447,Intermediate pleiotropy,4th,7,62,,Singletons,10.3544718013,Intermediate pleiotropy,4th,7,68,TRUE,FALSE,FALSE,FALSE,4,0.274289652,176,52,97,0.00292980195863843,-0.00292980195863843,Non_essentialty,Non_specific,1,0.279106,0.279106,1,0.279106,0.279106,FALSE,FALSE,"(3.74e+03,5.4e+03]","(4.34e+03,8.75e+03]","[1,2]","(0.243,0.353]",TRUE,FALSE
DCUN1D3,ENSG00000188215,16,5.44270491131646,Euteleostomi,Euteleostomi,1,1,429,1,,2,810,6222,915,0.149119948,6136,304,2,43.1,8367,3,2,8367,0.46,0.99174,2.02739726,0.01369863,0.2941,0.0234,0.0344,Intolerant,Intolerant,0.035362122,0.064102564,0.043604651,Low pleiotropy,1st,1,3,,Singletons,9.06443802542186,Intermediate pleiotropy,3rd,5,44,FALSE,FALSE,FALSE,FALSE,14,0.319842376,145,25,14,0.106882707302386,-0.106882707302386,Non_essentialty,Non_specific,4,0.0559657575,0.04201545,4,0.0559800075,0.04201545,FALSE,FALSE,"(5.4e+03,7.81e+03]","(4.34e+03,8.75e+03]","(3,61]","[0.00191,0.0795]",TRUE,FALSE
DCUN1D4,ENSG00000109184,4,6.51877264724333,Euteleostomi,Euteleostomi,1,1,429,1,,2,1488,7625,1011,0.236823612,4269,336,22,40.07,15726,11,10,15488,0.805894736842106,0.265942041210526,2.076923077,0.087912088,0.4596,0.0038,0.0633,Intermediate,Tolerant,0.14664926,1.421052632,0.333333333,Intermediate pleiotropy,4th,7,69,,Singletons,11.8542901443979,High pleiotropy,5th,9,84,FALSE,FALSE,FALSE,FALSE,25,0.197714671,176,6,3,-0.00722285705564717,0.00722285705564717,Non_essentialty,Non_specific,2,0.1508895,0.1508895,1,0.441191,0.441191,TRUE,FALSE,"(5.4e+03,7.81e+03]","(8.75e+03,1.93e+04]","[1,2]","(0.0795,0.152]",TRUE,FALSE
DCUN1D5,ENSG00000137692,11,5.61789321714267,Euteleostomi,Euteleostomi,1,1,429,1,,2,680,13069,714,0.056331361,12675,237,11,35.6,7942,8,7,7930,0.632,0.84795125,1.31147541,0.016393443,0.2695,0,0,Intermediate,Tolerant,0.056400742,,,Low pleiotropy,1st,1,8,,Singletons,7.19089623767657,Low pleiotropy,1st,2,11,FALSE,FALSE,FALSE,FALSE,12,0.190638841,176,4,1,-0.0605305396249739,0.0605305396249739,Non_essentialty,Non_specific,2,0.1397245,0.1397245,3,0.0751588666666667,0.0770666,FALSE,FALSE,"(7.81e+03,1.19e+05]","(4.34e+03,8.75e+03]","[1,2]","(0.0795,0.152]",TRUE,FALSE
DCXR,ENSG00000169738,17,6.89710041165552,Euteleostomi,Euteleostomi,1,1,429,1,1,1,987,1902,735,0.828635851,887,244,21,61.99,879,8,7,708,1.42544444444444,1.57351582255556e-05,1.888888889,0.090909091,0.8178,0.0194,0.0328,Tolerant,Tolerant,0.109195402,0.649484536,0.442073171,Intermediate pleiotropy,4th,8,79,,Singletons,12.7401028345228,High pleiotropy,5th,9,89,TRUE,TRUE,FALSE,FALSE,5,0.329234769,4,20,16,-0.0633717609410891,0.0633717609410891,Non_essentialty,Non_specific,1,0.33003,0.33003,3,0.0952477666666667,0.121085,TRUE,FALSE,"[211,2.35e+03]","[1,1.92e+03]","[1,2]","(0.243,0.353]",TRUE,FALSE
DDA1,ENSG00000130311,19,6.6534351521708,Euteleostomi,Euteleostomi,1,1,429,1,,2,950,4593,309,0.076428395,4043,102,5,56.16,3288,5,4,3276,0.455,0.98425,1.514285714,0.028571429,,0,0,Intolerant,Intolerant,,,,Intermediate pleiotropy,4th,8,73,,Singletons,11.3090746888938,Intermediate pleiotropy,4th,8,79,FALSE,FALSE,FALSE,FALSE,8,0.202942186,59,3,20,-0.467481061250596,0.467481061250596,Non_essentialty,Non_specific,2,0.08539735,0.08539735,1,0.281926,0.281926,FALSE,FALSE,"(3.74e+03,5.4e+03]","(1.92e+03,4.34e+03]","[1,2]","(0.0795,0.152]",TRUE,FALSE
DDAH1,ENSG00000153904,1,6.24165110786728,Euteleostomi,Euteleostomi,1,1,429,1,1,1,680,4587,549,0.136669156,4017,182,5,39.19,49378,7,6,49377,0.926363636363636,0.09599038,2,0.111111111,0.5016,0.0036,0,Tolerant,Tolerant,0.063197767,0.5,,Intermediate pleiotropy,3rd,6,56,,Singletons,9.86436414517059,Intermediate pleiotropy,3rd,6,60,FALSE,FALSE,FALSE,FALSE,21,0.325026684,,52,15,0.0534020930848792,-0.0534020930848792,Non_essentialty,Non_specific,5,0.334301,0.315265,5,0.2874134,0.290102,FALSE,FALSE,"(3.74e+03,5.4e+03]","(1.93e+04,8.49e+05]","(3,61]","(0.243,0.353]",TRUE,FALSE
DDAH2,ENSG00000213722,6,13.2646497179198,Euteleostomi,Euteleostomi,1,1,429,,1,7,454,2363,858,0.508293839,1688,285,10,59.86,767,7,6,767,0.5529,0.925901,1.75,0.0375,0.4134,0.0043,0.0266,Intolerant,Intolerant,0.038219642,0.372093023,0.545112782,High pleiotropy,5th,10,100,,Singletons,22.6651417606722,High pleiotropy,5th,10,100,TRUE,FALSE,FALSE,FALSE,9,0.237587336,,,9,0.0283692687580685,-0.0283692687580685,Non_essentialty,Non_specific,2,0.110161,0.110161,2,0.110161,0.110161,TRUE,TRUE,"(2.35e+03,3.74e+03]","[1,1.92e+03]","[1,2]","(0.0795,0.152]",TRUE,FALSE
DDB1,ENSG00000167986,11,6.51734432832,Euteleostomi,Euteleostomi,1,1,429,1,2,2,1488,13950,3423,0.759653795,4506,1140,25,47.67,9547,27,26,7482,0.269461538461538,0.984242307692308,1.239193084,0.020172911,0.4935,0.0195,0.029,Intolerant,Intolerant,0.004052685,0.266666667,0.179310345,Intermediate pleiotropy,4th,7,69,,Singletons,10.0147588237775,Intermediate pleiotropy,4th,7,62,FALSE,FALSE,TRUE,FALSE,11,0.222051568,161,36,23,-1.87890406494171,1.87890406494171,Essentialty,Non_specific,3,0.0829873733333333,0.104714,3,0.0829873733333333,0.104714,FALSE,FALSE,"(7.81e+03,1.19e+05]","(8.75e+03,1.93e+04]","(2,3]","(0.0795,0.152]",TRUE,FALSE
DDB2,ENSG00000134574,11,7.64302777735775,Euteleostomi,Euteleostomi,1,1,429,1,1,2,454,4897,1284,0.686631016,1870,427,16,47.15,4941,10,9,4855,0.777125,0.116365727625,1.991596639,0.092436975,0.4793,0,0.0283,Intermediate,Tolerant,0.247861465,,0.731448763,High pleiotropy,5th,9,89,,Singletons,14.2389090076091,High pleiotropy,5th,10,94,TRUE,TRUE,TRUE,TRUE,21,0.224668541,126,22,19,-0.113109783398504,0.113109783398504,Non_essentialty,Non_specific,2,0.1855042,0.1855042,2,0.1663949,0.1663949,TRUE,TRUE,"(3.74e+03,5.4e+03]","(4.34e+03,8.75e+03]","[1,2]","(0.152,0.243]",TRUE,FALSE
DDC,ENSG00000132437,7,7.71208299713065,Euteleostomi,Euteleostomi,1,1,429,1,1,1,1064,3084,1443,0.717196819,2012,480,14,44.41,22736,15,14,22734,1.00421052631579,0.000734592472425263,2.113333333,0.073333333,0.6916,0.0239,0.0312,Tolerant,Tolerant,0.087044534,0.322175732,0.25,High pleiotropy,5th,9,90,,Singletons,9.36856712626635,Intermediate pleiotropy,3rd,5,50,FALSE,FALSE,FALSE,FALSE,19,0.882271022,24,40,23,0.0667298538744151,-0.0667298538744151,Non_essentialty,Specific,6,0.0637168333333333,0.0314168,4,0.170562225,0.166846,FALSE,TRUE,"(2.35e+03,3.74e+03]","(1.93e+04,8.49e+05]","(3,61]","[0.00191,0.0795]",TRUE,FALSE
DDHD1,ENSG00000100523,14,6.73753990520262,Euteleostomi,Euteleostomi,1,1,429,1,2,2,886,17944,2640,0.206750724,12769,879,10,38.26,24188,13,12,24158,0.643,0.0724887787777778,2.303149606,0.066929134,0.4701,0.0043,0.0132,Tolerant,Tolerant,0.112529249,0.23255814,0.075757576,Intermediate pleiotropy,4th,8,75,,Singletons,9.33326846169208,Intermediate pleiotropy,3rd,5,50,TRUE,FALSE,TRUE,FALSE,23,0.430378381,1,15,25,-0.0051571696678741,0.0051571696678741,Non_essentialty,Non_specific,2,0.08338115,0.08338115,1,0.167123,0.167123,FALSE,FALSE,"(7.81e+03,1.19e+05]","(1.93e+04,8.49e+05]","[1,2]","(0.0795,0.152]",TRUE,FALSE
DDHD2,ENSG00000085788,8,7.33849868077593,Euteleostomi,Euteleostomi,1,1,429,1,2,2,544,10686,2136,0.434058118,4921,711,24,42.25,9902,18,17,6350,0.924571428571428,0.0305066480285714,2.428571429,0.125,0.411,0.0108,0.0559,Tolerant,Tolerant,0.122384428,0.111111111,0.763864043,High pleiotropy,5th,9,86,,Singletons,11.4523172404488,Intermediate pleiotropy,4th,8,80,FALSE,FALSE,FALSE,FALSE,10,0.226167393,1,54,35,0.0243375336597471,-0.0243375336597471,Non_essentialty,Non_specific,1,0.237062,0.237062,1,0.237062,0.237062,FALSE,TRUE,"(7.81e+03,1.19e+05]","(8.75e+03,1.93e+04]","[1,2]","(0.152,0.243]",TRUE,FALSE
DDI1,ENSG00000170967,11,5.80808289212697,Eutheria,Eutheria,4,6,99,6,2,2,1488,2609,1191,0.456496742,2609,396,1,48.56,726,1,0,726,1.337,4.7905e-05,2.162962963,0.133333333,0.8632,,0.0108,Tolerant,Tolerant,0.120134384,,0.583333333,Intermediate pleiotropy,2nd,3,21,,Singletons,8.01326740189814,Intermediate pleiotropy,2nd,3,24,FALSE,FALSE,FALSE,FALSE,,1,,21,24,0.0821100014642545,-0.0821100014642545,Non_essentialty,Specific,1,0.151644,0.151644,1,0.151644,0.151644,FALSE,FALSE,"(2.35e+03,3.74e+03]","[1,1.92e+03]","[1,2]","(0.0795,0.152]",FALSE,TRUE
DDI2,ENSG00000197312,1,6.3309084698663,Tetrapoda,Tetrapoda,2,2,352,2,,2,1488,12178,1200,0.112496484,10667,399,6,42.42,10910,10,9,10910,0.223,1,1.381355932,0.050847458,,0,0,Intolerant,Intolerant,,,,Intermediate pleiotropy,4th,7,61,,Singletons,10.7986422688174,Intermediate pleiotropy,4th,8,74,TRUE,FALSE,TRUE,FALSE,11,0.2154609,,10,17,-0.240117981392434,0.240117981392434,Non_essentialty,Non_specific,1,0.37824,0.37824,1,0.37824,0.37824,FALSE,FALSE,"(7.81e+03,1.19e+05]","(8.75e+03,1.93e+04]","[1,2]","(0.353,0.5]",FALSE,FALSE
